path,area,is_tracked,size,line_count,has_main_guard,uses_argparse,defines_dataclass,defines_functions_count,defines_classes_count,imports_count,imported_by_count,referenced_in_docs_count,likely_role,status_guess,risk_notes
scripts/analysis/audit_3d_fem_joint_constraint_bracketing.py,scripts,true,72324,1662,true,false,true,54,4,11,0,1,entry-point,active-diagnostic,
scripts/analysis/audit_3d_fem_joint_coupling_models.py,scripts,true,55121,1317,true,false,true,49,4,11,0,1,entry-point,active-diagnostic,
scripts/analysis/audit_3d_fem_point_joint_mu0_eps0p01.py,scripts,true,54622,1310,true,false,true,43,3,11,0,1,entry-point,active-diagnostic,
scripts/analysis/audit_3d_fem_rigid_joint_thickness_trend.py,scripts,true,46730,1085,true,false,true,34,2,14,0,1,entry-point,active-diagnostic,
scripts/analysis/audit_article_beta5_eta0p5_desc1_desc2_crossing.py,scripts,true,37714,895,true,false,true,32,4,16,0,2,entry-point,active-diagnostic,
scripts/analysis/audit_coupled_equal_thickness_beta15_eps0p01_mu0_fem_sanity.py,scripts,true,22328,481,true,false,true,18,1,10,0,1,entry-point,active-diagnostic,
scripts/analysis/audit_desc6_veering_localization.py,scripts,true,17443,460,true,false,true,17,1,8,0,2,entry-point,active-diagnostic,
scripts/analysis/audit_eta0_mu_positive_gap_rearrangement_verification.py,scripts,true,36745,880,true,true,true,33,2,17,0,2,entry-point,active-diagnostic,
scripts/analysis/audit_eta0p5_eps0p0025_lambda_mu_crossings.py,scripts,true,32450,770,true,false,true,23,1,13,0,2,entry-point,active-diagnostic,
scripts/analysis/audit_eta_parameter_positive_gap_verification.py,scripts,true,60420,1381,true,true,true,62,5,19,0,2,entry-point,active-diagnostic,
scripts/analysis/audit_eta_scan_first6_rearrangement.py,scripts,true,35346,837,true,false,true,37,1,11,0,1,entry-point,active-diagnostic,
scripts/analysis/audit_lambda_beta_sorted_descendant_thickness_mismatch.py,scripts,true,44459,1045,true,false,true,28,1,14,3,1,entry-point,active-diagnostic,
scripts/analysis/audit_mode_shape_branch2_beta_transition_eta0p1_mu0p3.py,scripts,true,33764,800,true,true,true,28,2,14,0,3,entry-point,active-diagnostic,
scripts/analysis/audit_mu_scan_eta0_first6_rearrangement.py,scripts,true,49125,1179,true,true,true,47,2,12,2,2,entry-point,active-diagnostic,
scripts/analysis/audit_timoshenko_energy_partition_beta15_eps0p01_eta0_eta0p5.py,scripts,true,45288,1074,true,false,true,35,3,24,0,2,entry-point,active-diagnostic,
scripts/analysis/audit_variable_length_thickness_timoshenko_limits.py,scripts,true,42283,996,true,false,false,25,0,22,0,2,entry-point,active-diagnostic,
scripts/analysis/audit_variable_length_timoshenko_limits.py,scripts,true,22783,541,true,false,false,15,0,10,0,1,entry-point,active-diagnostic,
scripts/analysis/check_analytic_shape_in_fem_residual.py,scripts,true,193407,4376,true,true,true,123,2,33,4,2,entry-point,active-diagnostic,
scripts/analysis/check_beta0_single_rod_limit.py,scripts,true,19564,511,true,true,true,19,2,18,0,2,entry-point,active-diagnostic,
scripts/analysis/check_fem_right_transform_variants.py,scripts,true,18966,497,true,true,true,21,1,24,0,2,entry-point,active-diagnostic,
scripts/analysis/check_mu_to_one_single_rod_limit.py,scripts,true,37770,912,true,true,false,38,0,15,0,2,entry-point,active-diagnostic,
scripts/analysis/check_single_beam_exact_shape_residual.py,scripts,true,9287,273,true,false,false,14,0,7,0,2,entry-point,active-diagnostic,
scripts/analysis/check_thickness_mismatch_branch_identity_eta_p0p5.py,scripts,true,21770,549,true,false,false,14,0,10,0,3,entry-point,active-diagnostic,
scripts/analysis/check_thickness_mismatch_eta_zero_limit.py,scripts,true,8667,232,true,false,false,8,0,12,0,3,entry-point,active-diagnostic,
scripts/analysis/compare_analytic_fem_tracked_descendant_shape.py,scripts,true,75565,1815,true,true,false,57,0,19,1,2,entry-point,active-diagnostic,
scripts/analysis/compare_coupled_equal_rods_eb_timoshenko.py,scripts,true,41198,1071,true,false,true,38,2,13,1,1,entry-point,active-diagnostic,
scripts/analysis/compare_joint_dynamic_stiffness_analytic_fem.py,scripts,true,140127,3618,true,true,false,96,0,21,0,2,entry-point,active-diagnostic,
scripts/analysis/compare_single_rod_eb_timoshenko.py,scripts,true,18308,550,true,false,true,17,1,9,2,1,entry-point,active-diagnostic,
scripts/analysis/fem_check_thickness_mismatch_eta_p0p5_beta15.py,scripts,true,37657,930,true,false,true,29,2,18,0,3,entry-point,active-diagnostic,
scripts/analysis/plot_article_fig3_with_fp_and_ff_refs.py,scripts,true,13630,378,true,true,false,8,0,12,0,2,entry-point,active-diagnostic,
scripts/analysis/plot_coupled_equal_rods_beta15_eps0p01_eb_timoshenko_fem_vs_mu.py,scripts,true,76272,1756,true,false,true,67,7,19,0,1,entry-point,active-diagnostic,
scripts/analysis/plot_desc05_full_shapes_beta15_eps_sweep.py,scripts,true,31226,787,true,true,false,24,0,24,1,2,entry-point,active-diagnostic,
scripts/analysis/plot_diagnostic_eta_mu_beta_frequency_maps.py,scripts,true,45635,1124,true,true,true,26,1,17,0,2,entry-point,active-diagnostic,
scripts/analysis/plot_eta_scan_selected_lambda_beta_descendants.py,scripts,true,27539,638,true,false,true,16,1,11,0,1,entry-point,active-diagnostic,
scripts/analysis/plot_lambda_beta_eta0_eps0p0025_mu_rearrangement_check.py,scripts,true,23740,579,true,false,true,25,1,11,0,2,entry-point,active-diagnostic,
scripts/analysis/plot_lambda_eta_thickness_mismatch.py,scripts,true,8522,213,true,false,false,8,0,10,0,2,entry-point,active-diagnostic,
scripts/analysis/plot_lambda_mu_eta_m0p5_with_single_beam_refs.py,scripts,true,26022,715,true,true,false,22,0,17,0,2,entry-point,active-diagnostic,
scripts/analysis/plot_lambda_mu_thickness_mismatch_beta15_eta_descendants.py,scripts,true,23851,652,true,true,false,15,0,19,0,3,entry-point,active-diagnostic,
scripts/analysis/plot_lambda_mu_thickness_mismatch_beta15_eta_large_slenderness.py,scripts,true,20798,585,true,false,true,21,2,12,0,2,entry-point,active-diagnostic,
