beta,branch_id,r,radius_mm,mu,current_sorted_index,frequency_hz,left_bending_energy_fraction,right_bending_energy_fraction,axial_fraction
15.0,bending_desc_04,0.005,5.0,0.0,3,103.15370425855463,0.5000000003649401,0.49999999963506,0.0007634118174241569
15.0,bending_desc_04,0.005,5.0,0.5,3,99.43863149266816,0.11165670541936433,0.8883432945806357,0.0012752337975832078
15.0,bending_desc_04,0.005,5.0,0.9,3,65.16059906620247,0.04840327025964405,0.9515967297403559,0.002250334238821353
15.0,bending_desc_04,0.02,20.0,0.0,4,412.57793124207353,0.49999999984459453,0.5000000001554054,0.000770249861158345
15.0,bending_desc_04,0.02,20.0,0.5,4,417.32346356754647,0.33901843294228035,0.6609815670577197,0.0009011651895114894
15.0,bending_desc_04,0.02,20.0,0.9,4,414.6005374619122,0.08620482513726499,0.9137951748627351,0.0010822042218459928
15.0,bending_desc_05,0.005,5.0,0.0,6,222.50771538117496,0.4999999985131161,0.500000001486884,0.0004426610866131923
15.0,bending_desc_05,0.005,5.0,0.5,6,249.53588741313163,0.01525930911550488,0.9847406908844951,0.0006072239574657236
15.0,bending_desc_05,0.005,5.0,0.9,6,223.00314646716467,0.03303426424687233,0.9669657357531277,0.0005449731163115972
15.0,bending_desc_05,0.02,20.0,0.0,5,632.7837214932695,0.5000000001087851,0.49999999989121485,0.0006555267615645852
15.0,bending_desc_05,0.02,20.0,0.5,5,618.6240734995409,0.207409686156345,0.792590313843655,0.0005475152228391026
15.0,bending_desc_05,0.02,20.0,0.9,5,618.0824787163663,0.07543664057422991,0.9245633594257701,0.0006768791070086881
15.0,bending_desc_06,0.005,5.0,0.0,5,215.2206880198199,0.5000000012065737,0.4999999987934263,0.00035297450985175856
15.0,bending_desc_06,0.005,5.0,0.5,5,171.45543521168153,0.10580399744824914,0.8941960025517509,0.0008241397302025704
15.0,bending_desc_06,0.005,5.0,0.9,5,160.1631234279016,0.03727172950552169,0.9627282704944783,0.000794031389180186
15.0,bending_desc_06,0.02,20.0,0.0,6,860.6369297078483,0.5000000000068616,0.49999999999313843,0.0003710796676136795
15.0,bending_desc_06,0.02,20.0,0.5,6,862.0019531127631,0.23543858134685244,0.7645614186531475,0.0005904504457875569
15.0,bending_desc_06,0.02,20.0,0.9,6,859.68522816618,0.06946797595098622,0.9305320240490138,0.0005446231208638722
